Real Mean,Fake Mean,Real Std,Fake Std
26.32,28.16,4.73,9.0
58.91,55.93,16.57,26.5
56.13,51.59,18.77,29.0
46.73,47.83,20.52,27.21
48.82,49.01,20.98,28.59
56.32,65.22,16.85,29.08
61.96,64.72,8.89,20.39
47.39,48.17,20.45,29.82
54.47,55.48,13.71,26.64
58.62,61.88,12.02,26.7
49.79,51.29,17.9,29.48
59.33,57.64,14.33,25.04
53.91,38.35,14.6,24.79
64.75,49.02,15.3,28.13
64.96,43.12,15.11,26.57
63.38,45.42,16.11,27.54
65.38,55.9,12.62,25.7
64.07,56.79,14.5,27.54
58.18,53.79,12.97,24.91
46.35,48.63,19.82,29.71
47.16,43.47,19.46,27.98
48.1,55.6,18.09,29.39
48.17,65.37,15.78,25.47
